企业名称,统一社会信用代码,成立年限,注册资本（统一人民币为单位）,实缴资本（统一人民币为单位）,经营状态,企业类型,组织类型,投资类型,企业规模,分支机构数量,分支机构名称,地址信息,投融资轮次,企业资质,法定代表人,注册号,组织机构代码,所属行业,经营范围,邮箱（工商信息）_x,邮箱（企业认证信息）,股东,联系电话,联系电话2,联系电话3,联系电话4,联系电话5,推荐电话
华据医疗评估信息技术（北京）有限公司,91110105082872450X,41582,762.5万元人民币,762.5万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,北京市朝阳区东朝时代广场东区2号楼,股权融资,科技型中小企业 | 小微企业,陈晖,110101016443529,082872450,其他技术推广服务,医疗评估信息技术服务、数据分析及软件研发；医疗管理评价数据集成；医院管理应用软件研发；医院管理质量评价；医疗管理技术培训；组织医疗技术交流活动；销售计算机、软件及辅助设备；经营电信业务；广播电视节目制作。（市场主体依法自主选择经营项目，开展经营活动；经营电信业务、广播电视节目制作以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,wanglan@chinadata.org.cn,,中天利达风险投资有限公司; 北京中天易利投资咨询有限公司; 北京华据志和医学科技中心（有限合伙）; 北京华据志城医疗科技创新中心（有限合伙）; 孙长森; 嵊州市金越嵊商股权投资基金合伙企业（有限合伙）; 烟台善欣投资合伙企业（有限合伙）; 赛博辰辉（北京）投资咨询有限公司,67704670,010-58698229,58698229,15510621518,,
北京国际医疗中心有限公司,91110105600021198E,34060,5006.9万元人民币,5006.9万元人民币,存续,港澳台投资,有限责任公司,台港澳法人独资,微型企业,,无分支机构信息,北京市朝阳区亮马桥路50号燕莎写字楼首层,并购融资,无特殊资质,王思欧,110000450015078,600021198,门诊部（所）,许可项目：医疗服务；生活美容服务；食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：健康咨询服务（不含诊疗服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；日用品销售；办公用品销售；化妆品零售；第一类医疗器械销售；第二类医疗器械销售；医学研究和试验发展；紧急救援服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,jiajingwen@imcclinics.com,,思健醫療服務有限公司,01064651561,64622068-8015,84484585,010-84484585,64651561,
北京四惠医疗互联网医院有限公司,91110105MA006T519J,42557,5000万元人民币,,存续,有限责任公司,有限责任公司,自然人投资或控股,中型企业,,无分支机构信息,,无投融资信息,小微企业,黄永长,110105021606771,MA006T519,其他技术推广服务,许可项目：医疗服务；依托实体医院的互联网医院服务；药品批发；药品零售；互联网信息服务；药品互联网信息服务；职业中介活动；出版物零售；出版物互联网销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；健康咨询服务（不含诊疗服务）；医学研究和试验发展；咨询策划服务；文化娱乐经纪人服务；医院管理；广告设计、代理；广告制作；广告发布；远程健康管理服务；第一类医疗器械销售；第二类医疗器械销售；电工仪器仪表销售；日用品销售；化妆品零售；食用农产品零售；软件开发；会议及展览服务（出国办展须经相关部门审批）；食品销售（仅销售预包装食品）；保健食品（预包装）销售；食品互联网销售（仅销售预包装食品）；业务培训（不含教育培训、职业技能培训等需取得许可的培训）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,454808207@qq.com,,溯光奕石（北京）企业管理有限公司; 黄勇伟; 黄婷婷,13810167486,84689463,010-84689581,84689580,84689777,
通用技术集团医疗健康有限公司,91110000MA01LQN851,43677,700000万元人民币,274095.5万元人民币,存续,有限责任公司,其他有限责任公司,,小型企业,,无分支机构信息,北京市丰台区通用时代中心B座12-13层,股权融资,小微企业,张向群,110000027544754,MA01LQN85,社会经济咨询,医院管理及咨询服务；养老机构管理及咨询服务；健康管理及咨询服务；医疗健康产业投资、投资管理、投资咨询；企业管理及咨询；技术开发、技术转让、技术咨询；销售药品、食品、Ι类医疗器械、消杀用品；医疗器械、医疗设备租赁；出租办公用房、出租商业用房；物业管理。（市场主体依法自主选择经营项目，开展经营活动；销售食品、销售药品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,gtmed@gtmed.com.cn,,中国航空工业集团有限公司; 中国通用技术（集团）控股有限责任公司,81163813,010-58354675,58354675,01084928803,,
北京市朝阳区医疗机构管理中心,12110105795112929U,,,,存续,其他,事业单位,,,,无分支机构信息,北京市朝阳区通惠家园惠生园19号楼,无投融资信息,无特殊资质,白勇涛,,,,统筹管理全区社区卫生服务机构；负责全区社区卫生服务的质量管理、绩效考核、人员培训、运行管理、药品及医用耗材的配送结算管理、信息统计等工作,,,,,,,,,
新世纪医疗科技（北京）有限公司,91110108MA004UU1XG,42478,400万元人民币,400万元人民币,存续,有限责任公司,其他有限责任公司,,小型企业,,无分支机构信息,,无投融资信息,小微企业,贾晓锋,110108021044665,MA004UU1X,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；健康咨询服务（不含诊疗服务）；信息系统集成服务；计算机系统服务；数据处理服务；数据处理和存储支持服务；软件开发；市场调查（不含涉外调查）；专业设计服务；会议及展览服务；市场营销策划；咨询策划服务；信息咨询服务（不含许可类信息咨询服务）；企业管理咨询；非居住房地产租赁；广告发布；广告设计、代理；广告制作；日用品销售；化妆品零售；母婴用品销售；第一类医疗器械销售；第二类医疗器械销售；计算机软硬件及辅助设备零售；食品互联网销售（仅销售预包装食品）；保健食品（预包装）销售；婴幼儿配方乳粉及其他婴幼儿配方食品销售；食品销售（仅销售预包装食品）；互联网销售（除销售需要许可的商品）；电子产品销售；玩具销售；家用电器销售；文具用品零售；鞋帽零售；箱包销售；日用杂品销售；个人卫生用品销售；礼品花卉销售；软件销售；日用百货销售；户外用品销售；服装服饰零售；家居用品销售；厨具卫具及日用杂品零售；办公用品销售；日用化学产品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,qing.chang@ncich.com.cn,,北京嘉华云众管理咨询有限公司; 珠海云众医疗投资合伙企业（有限合伙）; 贾晓锋,010-85249827,010-57114288,01052894234,010-68061688,51783366,
北京画美医疗美容医院有限公司,91110105759643239U,38042,1500万元人民币,1500万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,中型企业,,无分支机构信息,,无投融资信息,无特殊资质,曾柏松,110105006485789,759643239,专科医院,许可项目：医疗服务；医疗美容服务；生活美容服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：化妆品零售；停车场服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,410606247@qq.com,,张玉娇; 曾柏松,010-65069996,65067772,18610602000,13269659333,,
北京领医医疗美容门诊部有限公司,91110105MA00E4EE8Y,42858,1063.8万元人民币,1063.8万元人民币,存续,有限责任公司,其他有限责任公司,,小型企业,,无分支机构信息,北京市朝阳区关东店北街17号2层,无投融资信息,无特殊资质,胡晓丽,110105023395090,MA00E4EE8,门诊部（所）,美容科医疗服务；销售食品；销售化妆品、日用品、I、II类医疗器械、文具用品、电子产品；企业管理咨询；技术开发；会议服务；建筑工程机械与设备租赁。（市场主体依法自主选择经营项目，开展经营活动；销售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,ssm@limmedicaks.com,,张蕾; 浙江领医医美医疗管理服务有限公司; 郭伟,010-65064877,17331661670,18201608300,65067377,65064877,
北京美中宜和医疗管理（集团）有限公司,91110000055580233A,41204,129500.2万元人民币,129500.2万元人民币,存续,港澳台投资,有限责任公司,港澳台投资、非独资,微型企业,,无分支机构信息,,并购融资,小微企业,胡澜,110000015334015,055580233,其他综合管理服务,一般项目：企业管理；企业管理咨询；医院管理；社会经济咨询服务；健康咨询服务（不含诊疗服务）；市场营销策划；企业形象策划；专业设计服务；广告制作；广告设计、代理；组织文化艺术交流活动；图文设计制作；信息咨询服务（不含许可类信息咨询服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工程技术服务（规划管理、勘察、设计、监理除外）；安全咨询服务；日用百货销售；第一类医疗器械销售；第二类医疗器械销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,office_gp@amcare.com.cn,,XIAOHE HEALTH （HONG KONG） LIMI; 小荷健康科技（北京）有限公司,4001000016,13701210828,010-52346532,52346532,,
北京天助畅运医疗技术股份有限公司,91110105744717434Y,37573,7140万元人民币,7000万元人民币,存续,股份有限公司,股份有限公司,外商投资、未上市,中型企业,,无分支机构信息,,无投融资信息,高新技术企业 | 专精特新 | 专精特新中小企业 | 科技型中小企业 | 瞪羚企业 | 企业技术中心,刘建,110105004974088,744717434,专用设备制造业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；技术进出口；货物进出口；第一类医疗器械生产。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第二类医疗器械生产；第三类医疗器械生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,zhujinshan@temedical.com,,任福来; 刘建; 刘旗; 北京同创共享医疗股权投资基金合伙企业（有限合伙）; 华新; 孔繁智; 孟凯; 宁波畅运同赢企业管理合伙企业（有限合伙）; 曹锟; 翟向国; 贡立军; 邓平华; 郑志国; 郝英俊; 郭伟; 陈国强; 陈艳华; 马进; 黄锦绣,010-60575299,51265628-820,010-51265628-820,59771870,010-53916782,
优艺国际医疗科技服务（北京）有限公司,91110101764203828R,38181,21209.2万元人民币,21209.2万元人民币,存续,外商投资,有限责任公司,外国法人独资,微型企业,7,"优艺国际环保科技（北京）有限公司沈阳分公司
 优艺国际环保科技（北京）有限公司沈阳办事处
 优艺国际医疗科技服务（北京）有限公司渭南分公司
优艺国际环保科技（北京）有限公司丹东分公司
 优艺国际环保科技（北京）有限公司鞍山分公司
",,无投融资信息,小微企业,刘玉杰,110000410206678,764203828,其他技术推广服务,研究、开发环境污染治理及监测技术；提供技术服务、技术咨询、技术培训、技术推广、技术开发、技术转让；销售自行开发的产品；货物进出口、技术进出口、代理进出口（涉及配额许可管理，专项规定管理的商品按照国家有关规定办理）；租赁I类、II类医疗器械；零售、批发日用品、文具用品、I类、II类医疗器械；企业管理咨询；道路货物运输（限分支机构经营）；医疗废物的收集、贮存、处理和处置（限分支机构经营）。（市场主体依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,mary.ma@ueenviro.com,,优艺国际环保科技有限公司,01065188613,65188613,010-65188613,,,
中钰医疗控股（北京）股份有限公司,91110108759603966R,38055,20776万元人民币,20776万元人民币,存续,股份有限公司,股份有限公司,非上市、自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,小微企业,邓曙旺,110108006720621,759603966,投资与资产管理,资产管理；医学研究与试验发展；医疗器械租赁；医疗设备租赁；销售电子产品；技术开发、技术推广、技术转让、技术咨询、技术服务；计算机系统服务；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；软件开发；经济贸易咨询；货物进出口、代理进出口、技术进出口；市场调查；互联网信息服务。（'1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益'；市场主体依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,info@cgcapital.com.cn,,中钰资本管理（北京）有限公司; 共青城奎木知得投资管理合伙企业（有限合伙）; 张友敏; 禹勃,01058793988,82899647,82780307,010-59772610,010-58793988,
北京西格立医疗器材有限公司朝阳分公司,91110105781706988K,38638,,,存续,有限责任公司,有限责任公司分公司,自然人投资或控股,,,无分支机构信息,,无投融资信息,小微企业,马晓琴,110105008970382,781706988,其他科技推广服务业,技术咨询、转让、服务；软件开发；销售I、II类医疗器械、服装、计算机软件；承办展览展示活动；销售III类医疗器械；销售第三类医疗器械。（市场主体依法自主选择经营项目，开展经营活动；销售第三类医疗器械以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,xiaoqinma@handali.sina.net,,,85896031,010-85896031,,,,
北京骨卫士医疗科技集团有限公司,91110105MA004AR32D,42452,6578.1万元人民币,6578.1万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,北京市朝阳区霄云里南街9号院5号楼12层,A轮,高新技术企业 | 小微企业,顾安生,110105020886988,MA004AR32,其他技术推广服务,技术开发、技术咨询、技术服务；企业管理；医院管理（不含诊疗活动）；会议服务；计算机技术培训（不得面向全国招生）。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,liurn@orthoguard.cn,,上海达贺股权投资中心（有限合伙）; 于菁; 北京众创谷股权投资中心（有限合伙）; 北京初华医疗科技中心（有限合伙）; 北京华初旭医疗科技中心（有限合伙）; 北京华庚医疗科技中心（有限合伙）; 北京华瑞世纪医疗企业管理有限公司; 华瑞世纪控股集团有限公司; 天津中贺管理咨询有限公司; 广州达泰医凯产业投资基金合伙企业（有限合伙）; 海松企业管理有限公司; 湖州微医股权投资合伙企业（有限合伙）; 苏州源致创业投资合伙企业（有限合伙）; 苏州远毅博源创业投资合伙企业（有限合伙）; 苏州远毅睿恒股权投资合伙企业（有限合伙）,65861010,010-5861010,010-65861010,01065861010,,
北京弘慈医疗投资管理有限公司,911101010613209139,41283,100291.9万元人民币,100291.9万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,A轮,小微企业,林杨林,110101015533935,061320913,投资与资产管理,项目投资；投资管理；经济信息咨询；企业管理；出租商业用房；会议服务。（'1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益'；市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,gaoxinyu@njhgroup.cn,,北京新里程医院管理有限公司; 新里程（天津）健康产业投资中心（有限合伙）,010-87926898,010-85079011,18911690001,13021232258,01087926898,
北京爱颜医疗美容诊所有限公司,911101053397080246,42111,1000万元人民币,476万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,无特殊资质,肖映昕,110105018943356,339708024,门诊部（所）,许可项目：医疗美容服务；生活美容服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；社会经济咨询服务；信息咨询服务（不含许可类信息咨询服务）；市场调查（不含涉外调查）；市场营销策划；咨询策划服务；企业管理咨询；企业管理；会议及展览服务；组织文化艺术交流活动；第一类医疗器械销售；第二类医疗器械销售；医护人员防护用品零售；仪器仪表销售；化妆品零售；卫生用品和一次性使用医疗用品销售；日用品销售；第二类医疗设备租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,425368063@qq.com,,张海林; 肖映昕,59002615,,,,,
北京美莱医疗美容医院有限公司,911101050536245970,41151,30000万元人民币,,存续,有限责任公司,其他有限责任公司,,,,无分支机构信息,北京市朝阳区朝外大街227号,无投融资信息,无特殊资质,张震山,110105015215282,053624597,专科医院,美容服务；麻醉科医疗服务、影像科医疗服务、美容科医疗服务、检验科医疗服务；销售化妆品、I类医疗器械；发布广告；健康咨询（须经审批的诊疗活动除外）；健康管理（须经审批的诊疗活动除外）；会议服务。（市场主体依法自主选择经营项目，开展经营活动；美容服务、麻醉科医疗服务、影像科医疗服务、美容科医疗服务、检验科医疗服务依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,13666936693@139.com,,上海美莱投资管理有限公司; 厦门华医馆投资有限公司,01056935526,18001391739,56935526,010-56935526,,
美和医疗控股有限公司,91110105MA0016N56N,42290,10000万元人民币,5200万元人民币,存续,外商投资,有限责任公司,外商投资企业与内资合资,,,无分支机构信息,,无投融资信息,小微企业,于刚,110105019980578,MA0016N56,投资与资产管理,项目投资；投资管理；资产管理；投资咨询；经济贸易咨询；教育咨询（不含出国留学咨询及中介服务）；健康咨询（须经审批的诊疗活动除外）；房地产信息咨询；会议服务；应用软件服务（不含医用软件）；基础软件服务；计算机系统服务；计算机技术培训（不得在全国范围内招生）；技术开发、技术服务、技术转让、技术咨询、技术推广；销售电子产品、计算机软件及辅助设备、通讯设备、医疗器械（Ⅰ类）。（'1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益'；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,hr@medical-hope.ort,,上海济诺医院投资管理有限公司; 北京三友联创投资管理中心（有限合伙）; 无锡沂景股权投资合伙企业（有限合伙）,18601253557,52723701,18610441199,,,
共同医疗科技（北京）有限公司,91110105318279486F,41961,1000万元人民币,1000万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,北京市朝阳区安立路28号院3号楼1层商业101内02,无投融资信息,小微企业,张涛,110105018170767,318279486,其他技术推广服务,技术开发、技术服务、技术咨询、技术转让；经济贸易咨询；投资咨询；投资管理；销售化工产品（不含危险化学品）、针纺织品、日用品、文具用品、机械设备、电子产品、体育用品、计算机、软件及辅助设备、仪器仪表、I类医疗器械、II类医疗器械；软件开发；会议服务；租赁医疗器械、体育用品；货物进出口、技术进出口、代理进出口；销售第III类医疗器械。（市场主体依法自主选择经营项目，开展经营活动；销售第III类医疗器械以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,zhangtao@gtmedi.com,,张涛; 李明,010-65302988,010-65398597,65398597,,,
艾斯由医疗器械（北京）有限公司,91110105666905025E,39352,26250万元人民币,26250万元人民币,存续,外商投资,有限责任公司,外国法人独资,微型企业,,无分支机构信息,,无投融资信息,小微企业,布莱恩·迈克尔·邦内尔（BRIAN MICHAEL BONNELL）,110000450025694,666905025,医疗用品及器材批发,批发、佣金代理（拍卖除外）、进出口II类、III类（注射穿刺器械，医用电子仪器设备，体外循环及血液处理设备，手术室、急救室、诊疗室设备及器具，医用高分子材料及制品，介入器材）医疗器械，以及用于此类器械的备件、部件和材料；上述商品的仓储、安装、维护和技术培训；商务咨询服务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,able.yin@icumed.com,,ICU Medical Group Limited,010-56320888,010-56320803,,,,
泓华国际医疗控股有限公司,91110105067257943J,41402,6087.2万元人民币,6087.2万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,北京市朝阳区北辰东路8号5号楼B19,无投融资信息,小微企业,徐怀焱,110105015874219,067257943,投资与资产管理,投资管理；资产管理；项目投资；投资咨询；经济贸易咨询；教育咨询（不含出国留学咨询及中介服务）；组织文化艺术交流活动；销售Ⅰ类医疗器械；企业管理；技术推广服务；健康咨询（须经审批的诊疗活动除外）；医学研究（不含诊疗活动）。（'1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益'；市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,chang.liu@oasismedical.cn,,北京共享健康产业投资中心（有限合伙）; 北京弘润添福投资咨询中心（有限合伙）; 北京泓华汇宝投资管理中心（有限合伙）; 北京泓华汇德投资管理中心（有限合伙）; 北京金弘润投资顾问有限公司; 张广平,010-84981827,84981827,010-84971837,010-84981837,010-84981819,
国药医疗健康产业有限公司,911100003398171594,42121,170000万元人民币,170000万元人民币,存续,有限责任公司,有限责任公司,法人独资,小型企业,1,国药医疗健康产业有限公司供应链管理分公司,,无投融资信息,小微企业,孙建,110000019008134,339817159,其他组织管理服务,一般项目：医院管理；物业管理；工程管理服务；以自有资金从事投资活动；企业管理；自有资金投资的资产管理服务；企业管理咨询；第一类医疗器械销售；第二类医疗器械销售；机械设备租赁；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；货物进出口；技术进出口；进出口代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第三类医疗器械经营；药品批发。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,maziyu@sinopharm.com,,中国国际医药卫生有限公司,01084669157,010-84663875,84663905,010-84663698,01084663698,
北京爱康云医疗科技有限公司,91110105MA019178X8,43062,9300万元人民币,8505.4万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,2,"北京爱康云医疗科技有限公司湖北分公司
北京爱康云医疗科技有限公司西安分公司",,股权融资,小微企业,王少华,110105024498971,MA019178X,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；非居住房地产租赁；健康咨询服务（不含诊疗服务）；医学研究和试验发展；企业管理咨询；广告设计、代理；广告制作；广告发布；第一类医疗器械销售；针纺织品及原料销售；日用品批发；电工仪器仪表销售；厨具卫具及日用杂品批发；文具用品批发；化妆品批发；电子产品销售；玩具销售；服装辅料销售；服装服饰批发；鞋帽批发；卫生用品和一次性使用医疗用品销售；个人卫生用品销售；计算机软硬件及辅助设备批发；货物进出口；技术进出口；进出口代理；食品销售（仅销售预包装食品）；保健食品（预包装）销售；第二类医疗器械销售；远程健康管理服务；母婴用品销售；仪器仪表销售；体育用品及器材零售；特殊医学用途配方食品销售；婴幼儿配方乳粉及其他婴幼儿配方食品销售；酒店管理；信息咨询服务（不含许可类信息咨询服务）；会议及展览服务；健身休闲活动。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：广播电视节目制作经营；互联网信息服务；网络文化经营；第二类增值电信业务；食品销售；住宿服务；餐饮服务；酒类经营；烟草制品零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,584113114@qq.com,,武汉爱康鼎晖健康管理合伙企业（有限合伙）; 王东; 黄石市爱康医院有限责任公司,010-62081489,62081488,010-62081488,62080264,,
华耀鼎欣（北京）医疗科技发展有限公司,91110112MA01F2LRXD,43388,1100万元人民币,,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,无投融资信息,高新技术企业 | 小微企业,刘晓燕,110112026100462,MA01F2LRX,其他科技推广服务业,技术推广、技术开发、技术咨询、技术服务；软件开发；维修医疗器械；健康咨询（须经审批的诊疗活动除外）；医院管理（不含诊疗活动）；软件开发；企业策划；企业形象设计；租赁医疗器械；组织文化艺术交流活动；承办展览展示；销售服装鞋帽、针纺织品、五金交电（不含电动自行车）、建筑材料、化工产品（不含危险化学品）、机械设备、电子产品、文化用品、化妆品、日用品、工艺品（不含文物）、计算机软件及辅助设备、仪器仪表；经济贸易咨询；会议服务；设计、制作、代理、发布广告；道路货运代理；仓储服务（仅限通用仓储、谷物仓储、低温仓储、棉花仓储、其他农产品仓储、中药材仓储）；企业管理咨询；建筑物清洁服务；汽车租赁（不含九座以上客车）；专业承包；城市园林绿化；物业管理；批发第一类医疗器械；销售第二类医疗器械；销售第三类医疗器械。（企业依法自主选择经营项目，开展经营活动；销售第三类医疗器械以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本区产业政策禁止和限制类项目的经营活动。）,125383668@qq.com,,北京御冠征杰科技发展有限公司; 苏州优联智维科技有限公司,13811744662,15192503979,13683330977,01057733666,,
科愈医疗科技（北京）有限公司,91110108MAD99XF70M,45287,1000万元人民币,700万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,无投融资信息,小微企业,张伟,110108037946564,MAD99XF70,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；第一类医疗器械销售；第二类医疗器械销售；卫生用品和一次性使用医疗用品销售；消毒剂销售（不含危险化学品）；食品销售（仅销售预包装食品）；保健食品（预包装）销售；特殊医学用途配方食品销售；化妆品零售；化妆品批发；互联网销售（除销售需要许可的商品）；信息咨询服务（不含许可类信息咨询服务）；市场调查（不含涉外调查）；医学研究和试验发展；会议及展览服务；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第三类医疗器械经营；医疗器械互联网信息服务；药品互联网信息服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,yli_sciheal@163.com,,惠州华阳医疗器械有限公司; 速愈（北京）科技中心（有限合伙）,010-53821806,,,,,
壹舟健康医疗科技（北京）有限公司,9111010556043478X9,40632,4000万元人民币,1348万元人民币,存续,港澳台投资,有限责任公司,台港澳法人独资,微型企业,,无分支机构信息,,无投融资信息,小微企业,庄君,110000450169227,56043478X,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；计算机系统服务；数据处理服务；电子产品销售；母婴用品销售；日用杂品销售；销售代理；食品销售（仅销售预包装食品）；保健食品（预包装）销售；食品互联网销售（仅销售预包装食品）；医护人员防护用品零售；医护人员防护用品批发；体育用品及器材零售；体育用品及器材批发；通信设备销售；服装服饰批发；服装服饰零售；互联网销售（除销售需要许可的商品）；化妆品零售；化妆品批发；健康咨询服务（不含诊疗服务）；机械设备销售；日用品批发；日用品销售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；第一类医疗器械销售；第二类医疗器械销售；体育健康服务；护理机构服务（不含医疗服务）；医院管理；远程健康管理服务；养生保健服务（非医疗）；组织文化艺术交流活动；体育中介代理服务；组织体育表演活动；体育经纪人服务；货物进出口；技术进出口；进出口代理；食品进出口；广告制作；广告发布；广告设计、代理；会议及展览服务；摄像及视频制作服务；社会经济咨询服务；贸易经纪；婴幼儿配方乳粉及其他婴幼儿配方食品销售；特殊医学用途配方食品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：消毒器械销售；药品进出口；食品互联网销售；生活美容服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,christina@chinaecare.com,,恒宇醫療科技（香港）有限公司,13190191919,58679377,010-85715787,01085715787,010-85711277,
